Title,Date Written,Rating,Current/Former,Job Title,Location,Recommendation?,Outlook,Main Text,Pros,Cons,Advice to management
"""Repetitive""","Jun 21, 2012",3.0,Former Employee,Account Strategist,"Dublin, Co. Dublin (Ireland)",Recommends,Positive Outlook,Show More,"Great Leadership at higher level, Inspirational at times, great benefits, exceptional peers. Great food, locations, career prospects for the corporate types.","Working in Google for 80% of the time felt like working in a factory; churning out the same work day after day, being programmed in to what to say or do and not using always putting the long term thoughts of clients/relationship with clients at the heart. Short term targets do not always win (in my opinion).",
"""Great place to work, but the reward system is flawed""","May 30, 2012",4.0,Former Employee,Software Engineer,,Recommends,Positive Outlook,I worked at Google full-time,"great perks, paid well, smart coworkers","The reward system is strongly biased toward 'launches', i.e. new features, new products. You can't get promoted by doing incremental improvements. But there is only so much new features/products really worth doing...So if you are the kind of person who likes to fix bugs, refactor bad code instead of inventing useless new features, this may not be the best place for you.",
"""Great place to work in!""","Jun 10, 2012",5.0,Current Employee,"Manager, Online Sales & Operations",,Recommends,Positive Outlook,Innovation,Work culture,extremely competitive environment; not for the faint hearted,
"""One of the most absorbing and creative place to work!""","Jun 8, 2012",5.0,Current Employee,Account Strategist,"Gurgaon, Haryana (India)",Recommends,Positive Outlook,- Empowers you with creativity and independence,- Great work culture,- The frills can spoil you! One should try to maintain a balance while availing them.,
"""Great company to work for, however very hard to get promoted""","Jun 10, 2012",3.0,Current Employee,Anonymous Employee,,Doesn't Recommend,Negative Outlook,I have been working at Google full-time (More than a year),Great colleagues and onsite benefits,Hard to progress further within the company. Work is repetitive and biased ratings. Poor middle management. Too much pressure resulting in bad work/life balance.,
"""Pretty much all that I could ask for in a job""","May 31, 2012",5.0,Current Employee,Anonymous Employee,,Recommends,Positive Outlook,Great compensation packages,Lots of freedom to work on projects and ideas of your own choosing.,Google might not be the right place for you if you don't know how to navigate ambiguity and get things done with minimal oversight. Need to be able to influence across functions.,
"""Technical Project Manager""","Jun 10, 2012",5.0,Current Employee,Technical Project Manager,Hyderabad (India),Recommends,Positive Outlook,I have been working at Google full-time (More than 3 years),Openness and freedom of execution,Lot of de-frag in remote sites,
"""Amazing culture, great experience""","Jun 16, 2012",4.0,Former Employee,Adwords Associate,Hyderabad (India),Recommends,Positive Outlook,I worked at Google full-time (More than 3 years),"Perks, benefits and of course, the culture. Constant innovation and working with the brightest minds.",Indian setup is looked as a BPO/KPO,
"""Great place to have fun but no job satisfaction""","Jun 14, 2012",4.0,Former Employee,AdWords Representative,New Delhi (India),Recommends,Positive Outlook,I worked at Google full-time (More than a year),"Great networking, fun place, good perks",the work is not very satisfying. No job satisfaction. The brain gets jammed from not working.,
"""Definitely the dream company for IT guys.""","May 30, 2012",5.0,Current Employee,Anonymous Employee,,,,,"Easy working condition, free snacks and nice pay.",The interviews focus on algorithms so you need to spend a lot of time preparing for that.,
"""Poor place to go via acquisition""","Jun 11, 2012",2.0,Current Employee,Senior Strategist,,Doesn't Recommend,Neutral Outlook,I have been working at Google full-time (More than a year),If you want a job where you want to coast this is the place to work for. It has exceptional benefits and there are lots of extra curricular activities to get involved with.,The product that we were working on at our startup was shutdown. Assimilated to other parts of the firm where it definitely felt like a big corporation with little ownership and plenty of politics.,
"""Great people, but if you want a career, you have to move to Mountain View""","Jun 3, 2012",4.0,Former Employee,Software Engineer,"London, England (UK)",Recommends,Positive Outlook,I worked at Google full-time (More than 3 years),You get to work with some of the greatest people in the software industry. It was amazing place to network. Google had an excellent culture that they worked hard to build and I hope they never lose.,Google has a hard time delegating responsibility to remote offices. Projects started abroad would consistently be pulled into Mountain View as soon as they showed signs of success. This did not work well for remote employees who were left marginalised and unrewarded for their efforts.,
"""Amazing work-culture & people""","Jun 10, 2012",4.0,Current Employee,Anonymous Employee,"Gurgaon, Haryana (India)",Recommends,Positive Outlook,- rewards,- work life balance,- compensation,
"""Great Work Environment""","Jun 11, 2012",4.0,Current Employee,Customer Service,,Recommends,Positive Outlook,I have been working at Google full-time (More than 3 years),"Great work environment, with great people","Starting salary is low, but increases over time",
"""awesome with lots of elevances""","Jun 10, 2012",4.0,Former Employee,Sever Administrator,Hyderabad (India),Recommends,Positive Outlook,I worked at Google full-time (More than a year),comfortable working nature with good environment,timings are very ackword and irritating,
"""Incredible Company""","May 23, 2012",5.0,Current Employee,Anonymous Employee,,,,This company just knows what it is doing. No other explanation than that. From the top down you will feel like you are part of something great and ground-breaking.,Free food!,Sometimes a little TOO fun at work.,
"""Its getting better n better...""","Jun 6, 2012",4.0,Current Employee,Anonymous Employee,,Recommends,Positive Outlook,,its a reputed company n hopefully workng wid it will b vry intrsng n challenging..,too much of unnecessary options..,
"""great coworkers, interesting work, great benefits""","May 21, 2012",5.0,Current Employee,Anonymous Employee,,Recommends,,Approves of CEO,"great coworkers, interesting work, great benefits","very distributed teams, very high standards",
"""Best place to work, immense growth and learning opportunities, great work life balance""","May 17, 2012",5.0,Former Employee,Account Planner,Hyderabad (India),Recommends,,lots of benefits,work life balance,sometimes monotonous,
"""Incredible, though not perfect - what a place.""","May 19, 2012",4.0,Current Employee,Anonymous Employee,"London, England (UK)",Recommends,,Approves of CEO,"Free food, open culture, smart people, travel potential, challenging work, career development, company pride, package pretty good, fun times and occasional massages.","too much email, perhaps over competitiveness, invisible middle management (for me), too much hierarchy (in some areas), international offices not prioritised",
"""Great place to work, learn and meet amazing people""","May 13, 2012",5.0,Former Employee,Anonymous Employee,,Recommends,,Approves of CEO,"You'll work, meet with and listen to some of the most talented, inspiring and friendly people that you will ever see. Clear and open culture of feedback, performance recognition and cooperation. ""One Team"" feeling. You are limited not by the things that you want to do, but the things that you can do given there is only so much time in a work week. THE most valuable internship I have experienced and heard of.",Its run like a start up so it can be chaotic at times. Departments are spread way too thin as we had to cancel really nice projects because the workload would become unacceptably high (for Google norms).,
"""Work at Google and you will not hate your job""","May 15, 2012",5.0,Current Employee,Anonymous Employee,,Recommends,,Approves of CEO,Google is a dream company to work for! Perfect work-life balance.,I cannot think of any cons over the top of my head at the moment but there have been very few moments where something didn't go/happen as I expected. The cross all your expectations most of the time. Employee satisfation is very important to them,
"""Great place""","May 18, 2012",4.0,Current Employee,Adwords Associate,"Dublin, Co. Dublin (Ireland)",Recommends,,Work can be repetitive and not particularly challenging,Fun place to work,Career progression can be tough to get,
"""Great company to work for.""","May 13, 2012",4.0,Former Employee,Anonymous Employee,,Recommends,,- Dynamic organization that rewards its employees for their innovativeness,-A very ethical company to work for.,"Eventhough they try very hard to allow for geographical movements for employees, it is not always easy to get a posting out of your country. It is more true for employees working in the Asia region, to move to Europe. Sometimes you need a strong manager to recommend you and enable you to take up a role you covet.",
"""A great place to work but with caveats for people in roles other than software engineering""","Apr 25, 2012",4.0,Current Employee,User Experience Researcher,,Recommends,,User experience especially research is not uniformly baked in the process. I feel I have spent a lot of time explaining to people what I can do for them,Excellent compensation and benefits including free food (virtually all meals),Some parts of the company have a frantic work pace to the extent of being permanently stressful,
"""Good""","May 6, 2012",5.0,Current Employee,Staff Software Engineer,,Recommends,,Approves of CEO,"Good benefits, varied work, good colleagues.","It's a large company, not a startup.",
"""Gap between temp and permanent""","May 15, 2012",3.0,Current Employee,Anonymous Employee,,Recommends,,,Especially in HR department but there are so many temp employees and it's not easy to convert to FTE position.,"Brand name company, learning opportunity from colleagues they are all very smart and talented, great working environment. good company in general.",
"""amazing""","May 7, 2012",5.0,Current Employee,Anonymous Employee,,Recommends,,Approves of CEO,google is a very relaxed environment,Sometimes a lot of work,
"""Awesome Place to Work""","May 2, 2012",5.0,Current Employee,Online Ad Trafficker,Hyderabad (India),Recommends,,Larry Page is the best.,"Food, Environment, Employee relations, Fun Time, Job responsibilites,Friday Party","Management, Salary Compensation, vendor contractors,",
"""Great place to work""","Apr 22, 2012",5.0,Former Employee,Software Engineer,,Recommends,,Approves of CEO,Google has a very open culture with fun people. Managers are understanding and supportive. The work is interesting.,No real cons that I can point out. Large projects mean you can feel like an insignificant cog in the machine.,
"""Awesome""","May 10, 2012",4.0,Former Employee,Anonymous Employee,,Recommends,,Approves of CEO,"You can grow at the pace you are comfortable at. Stress on personal growth, and flexibility. Great place to work as there is a good work and personal life balance. Management sensitive to employees.",Politics are too much in some groups. Some people in the management form an opinion about some members of the team without knowing them.,
"""Fantastic""","Apr 24, 2012",5.0,Former Employee,Anonymous Employee,,Recommends,,Approves of CEO,Provide meals for free for lunch.,Too big to be flexible,
"""Too big, full of politics!""","May 27, 2012",1.0,Current Employee,Anonymous Employee,,,,,"Good brand, great products, good compensation, still innovating though at a lesser pace than 3 years back. Like the fact that Google is always willing to take big risks and make big bets.","Since Larry became CEO, things have changed. Things have become more and more top-down and even the SVPs have assumed ""dictatorial"" role. Starting anything new requires approval, distributed offices are treated like filth.",
"""I learnt a lot working with Google""","Apr 21, 2012",5.0,Former Employee,Intern,,Recommends,,2) Great Learning Environment,1) Perks,1) Too huge a company.,
"""good""","May 4, 2012",3.0,Current Employee,Programmer Analystlyst,,,,No opinion of CEO,flexibility to work in the office,time mainly shift timing starting,
"""Best place to work, global, dynamic, youthful""","May 3, 2012",4.0,Current Employee,Anonymous Employee,"Dublin, Co. Dublin (Ireland)",Recommends,,Approves of CEO,"We have great perks, people are young, dynamic, creative and willing to take risks. There's an open communication between teams and managers, and overall it's a super fun place to work at. I won't even get started with the benefits and perks that Google offers as those are well documented already.",Progressing in the career may be a lengthy process. Sometimes you're better off leaving to another company to get work experience and try to return later to Google to get hired into a higher position.,
"""Great environment, and unbelievably smart people.""","May 3, 2012",4.0,Current Employee,Anonymous Employee,,Recommends,,"Everything decided essentially by ""committee vote"" over email",Laid back work environment,Lack or order,
"""satisfying.""","Apr 30, 2012",4.0,Current Employee,Anonymous Employee,"Dublin, Co. Dublin (Ireland)",Recommends,,Expectation of success on these up to down decisions without localizing them.,"Health, onsite, monetary benefits that the company offers",high competitive environment,
"""Great perks and culture, but poor middle management""","Apr 20, 2012",4.0,Current Employee,Anonymous Employee,"London, England (UK)",Recommends,,Approves of CEO,"Google has an amazing work environment. Free food, massages, gym etc. All amazing. I've also gained very valuable experience working with large clients. The salary and whole benefits package is way better than anywhere else that I've worked.","I think there are so many layers of middle management that it's impossible to feel connected to the top. Especially if you aren't in the US, which is where most the exciting stuff happens. There is constant restructuring and it's not clear how the goals of management trickle down. They claim to be a flat company but I'm not convinced.",
"""Great place for new grads""","Apr 30, 2012",2.0,Former Employee,Anonymous Employee,,Doesn't Recommend,,Lack of accountability,Brand name on resume,Outdated propriety stack,
"""bad""","May 2, 2012",2.0,Former Employee,Anonymous Employee,,Doesn't Recommend,,Approves of CEO,nice people nice company slogan,sucky management. blundering planning processes fell apart. lots of finger pointing,
"""Bitter-sweet""","Apr 19, 2012",4.0,Former Employee,Strategist,"Dublin, Co. Dublin (Ireland)",Recommends,,Show More,- Great work environment;,"- No career prospects unless you're already at a very senior role or you want to follow the ""managerial path"" -- not all people are tailored (or want) to be people's managers (only 34% of my former managers were), hence the bad reputation around middle-management;",
"""Great Experience""","Apr 20, 2012",4.0,Former Employee,Anonymous Employee,,Recommends,,Approves of CEO,"The environment was great, everybody is very supportive",Interview process could be better,
"""Good""","Apr 21, 2012",4.0,Former Employee,Anonymous Employee,"Belfast, Northern Ireland (UK)",,,No opinion of CEO,"Dynamic, challenging, fast-paced but fun environment. At the cutting edge of technology, nice offices and staff care but don't expect to relax.","Highly stressful environment, long hours",
"""Cool place to work""","Apr 18, 2012",4.0,Former Employee,Finance Manager,,Recommends,,Approves of CEO,"Excellent Benefits, Smart and intelligent people, high energy and focus","Lower growth potential, lack of work life balance",
"""Yay free food!""","Apr 16, 2012",3.0,Former Employee,Anonymous Employee,,,,No opinion of CEO,"Good food, fun environment, smart people, fun events, free t shirts,","Long hours, not very structured",
"""Unprofessional. Poor leadership. Lots of talented people. No career growth.""","May 3, 2012",1.0,Current Employee,Anonymous Employee,,Doesn't Recommend,,,Lots of talented people. Nice chairs.,Unprofessional. Poor leadership. No career growth. Poor planning. Unstructured. No rewards or acknowledgment for doing good work.,
"""Can't Say Much""","Apr 9, 2012",2.0,Current Employee,Data Center Tech,,Doesn't Recommend,,"Again, Their lack of knowledge is beyond me. Get a Clue upper mgmt, your outer offices are giving Google a pretty bad rep.",Food is good (Really),Clicks!!,
"""positive good place to work""","Apr 9, 2012",4.0,Former Employee,Anonymous Employee,,Recommends,,Approves of CEO,"good coworkers, innovation is essence","very competitive, there are some free riders from early years",
"""A well paying job!""","Apr 8, 2012",4.0,Former Employee,Anonymous Employee,,Recommends,,No opinion of CEO,"Some of the best reasons to work at Google are because of compensation, growth, locations(s), and much much more.",Some of the downsides to working at Google are that it's not as exciting as a job as one might think.,
"""Great!""","Mar 24, 2012",5.0,Current Employee,Anonymous Employee,,Recommends,,6) Great respect for Engineers.,1) Great working environment.,It is a 30K people company now. Hiring too fast.,
"""Good place to work""","Apr 7, 2012",4.0,Current Employee,Anonymous Employee,,Recommends,,Approves of CEO,The people & perks are great,Some managers are better than others,
"""Fantastic""","Mar 20, 2012",5.0,Former Employee,Youtube Specialist,Hyderabad (India),Recommends,,Approves of CEO,Level playing field. Everyone is given a fair chance to present his or his views.,very brand conscious. They go only to the so called best schools/colleges thus missing out on some real geeks out there in the open,
"""Becoming more bureaucratic and political, loss of start up mentality.""","Mar 30, 2012",3.0,Current Employee,Regional Sales Manager,"Dublin, Co. Dublin (Ireland)",,,High employee churn,"Great brand, Free food, Good perks, Working with some of the smartest people in the world. Good place to start your career.",More political environment,
"""Amazing!""","Mar 25, 2012",4.0,Current Employee,Anonymous Employee,,Recommends,,No opinion of CEO,"friendly work atmosphere, good ambient, growth opportunity, work life balance, there is lot of oppurtunity to show your skill set and talents, the boss helps and guides you!",long work hours and tough dead lines!,
"""Awesome!""","Mar 7, 2012",5.0,Current Employee,Software Engineer,Zürich (Switzerland),Recommends,,Approves of CEO,"Food is great, hours are flexible and the project is very interesting. It's really great to work with many extremely smart and highly skilled people.","Well, we have some first world problems. I don't see mountains from my window. And sometimes there is no flavorless cottage cheese and I need to eat onion one, which I don't like.",
"""Helps appreciate vast scale""","Mar 22, 2012",3.0,Former Employee,Anonymous Employee,,,,No opinion of CEO,"Perks, compensation, benefits, shares, pride","Favouritism, politics, scale, not a startup anymore",
"""Surprising""","Mar 17, 2012",4.0,Former Employee,Demand Generation Associate,"Dublin, Co. Dublin (Ireland)",Recommends,,No opinion of CEO,Great benefits and perks. Nice and smart people.,"In my case, lack of recognition of the results obtained",
"""Very good experience""","Mar 6, 2012",4.0,Former Employee,Technical Sourcer,"London, England (UK)",Recommends,,- some people that started there many years ago just hold on to their roles and it's hard for the newcomers to prove they are potentially better,- great work environment,- career progression opportunities are close to zero,
"""GTL google boring job""","Mar 12, 2012",2.0,Current Employee,GTL for Mpas,"Dublin, Co. Dublin (Ireland)",,,treat as second level google employee,good salary,boring job,
"""Google is a good company.""","Mar 6, 2012",4.0,Current Employee,AdWords Representative,,Recommends,,"Try to make everything fair, it's hard, but worth to try.","Good environment, good food, you can focus on technologies, and the pay is ok.","Too many smart people, so it's hard to get promoted, especially in remote offices. It's hard, really hard, and challenging.",
"""Humbling and unsatisfying""","Mar 1, 2012",3.0,Current Employee,Anonymous Employee,,Recommends,,Approves of CEO,"The benefits, perks, and culture are great. Teams and projects require entrepreneurial approaches. There is a lot of freedom in our work.",Can be unappreciated at times. The lack of processes can be frustrating at times.,
"""awesome place""","Feb 28, 2012",4.0,Current Employee,Anonymous Employee,,Recommends,,Approves of CEO,"google has managed to still stay a very good place to work even though it has grown a lot in the past few years. work life balance, culture, and professional/career growth are still top notch.","getting a bit bit which means more and more restrictions are in place for movement and growth, but still not as bad as other places.",
"""Great place to intern and work.""","Jan 31, 2012",5.0,Former Employee,Anonymous Employee,,Recommends,,Approves of CEO,Very transparent management; able to speak your own opinion and have a lot of freedom in the projects assigned to you.,Hearing from them takes forever.,
"""Mixed bag""","Feb 8, 2012",3.0,Former Employee,Technical Recruiter,,,,No opinion of CEO,The fact that Google is such a strong company name definitely helps build your resume. The experience gained in the staffing organization is still very valuable.,The staffing organization does not feel like it's part of the rest of the campus. The company is too large to really feel like your contributions are noticed. Processes are already set in place so there isn't really much room for any creative approach to recruiting.,
"""Be very sure of what you will be doing, don't just buy the brand!""","Jan 28, 2012",3.0,Current Employee,Anonymous Employee,,Recommends,,"To Senior Management: take care of what is being done at lower levels, keep the open and fair culture",Amazing people to work with and constant learning and information sharing,I have seen really bad examples of middle management… great contrast with the potential in younger people,
"""Google a big small company""","Feb 1, 2012",4.0,Current Employee,Anonymous Employee,,Recommends,,Approves of CEO,"Great values, great perks, great career move",Internal communication between teams can be challenging,
"""An exciting place to work, but slowly becoming a big corporation.""","Jan 18, 2012",5.0,Former Employee,Software Engineer,,Recommends,,Extremely Intelligent co-workers,Excellent benefits,Slowly becoming a corporation like Microsoft.,
"""great""","Feb 3, 2012",4.0,Current Employee,Intern,,Recommends,,Approves of CEO,amazing co workers. great benefits with everything,long hours. can be draining at times,
"""Amazing place to work""","Jan 3, 2012",5.0,Current Employee,Anonymous Employee,,Recommends,,Approves of CEO,Amazing people to work with. Some of the smartest people I have met in my 20+ years in the software industry.,Bias towards quick and dirty solutions. Lack of understanding that the target user is not a software engineer at google.,
"""A challenging work enviorment.""","Jan 26, 2012",4.0,Former Employee,Anonymous Employee,,Recommends,,Approves of CEO,"Most well-known Internet company, many opportunities",Things get done kind of slowly.,
"""cult-like atmosphere..""","Feb 15, 2012",1.0,Current Employee,Anonymous Employee,,Doesn't Recommend,,Salary is not as high as I'd expected,good on resume free food and that's about it.,"you cannot focus on the actual work cos reorgs are happening all the time, everything is so disorganized and chaotic.",
"""good""","Jan 21, 2012",3.0,Current Employee,Anonymous Employee,,Recommends,,- Relatively easier to move (to another job/role) within Google,- Relatively flexible in trying new ideas,There are frequent organizational and/or structural changes within the organization.,
"""Like no other company""","Jan 21, 2012",4.0,Current Employee,Industry Analyst,"Dublin, Co. Dublin (Ireland)",Recommends,,The promotion process is usually very formal and inflexible.,Free food and great working environment,The management und processes sometimes seem to be a unstructured.,
"""Not Bad""","Jan 18, 2012",3.0,Former Employee,Senior Software Engineer,,Recommends,,No opinion of CEO,"Free food, intelligent colleagues, Compensation is fairly good.","Work is myopic for the talent level they demand, very political environment. Not the company it was n 2005",
"""Outstanding""","Dec 27, 2011",5.0,Current Employee,Anonymous Employee,"London, England (UK)",Recommends,,Approves of CEO,Big problems to deal with,Hard work if you are not based in MTV (this may not be the case if you are not in engineering),
"""develop new and cool search application""","Dec 29, 2011",5.0,Current Employee,Software Developer,"Beijing, Beijing (China)",Recommends,,Approves of CEO,high pay and passionate and challenge job.,huge workload and the boos sometimes overlook empolyee's feeling,
"""A culture of continuous improvement, at breakneck speed""","Dec 20, 2011",5.0,Current Employee,Site Reliability Engineer,,Recommends,,Show More,"Culture actually means something in Google; it's something management depend on, and everyone believes in. It ensures most of the time we are all going in roughly the same direction, even if no one seems to have the time to verify it's the right direction","The rate of change can upset people; nothing is constant. If you think you are making progress on your project, it's time to receive an email about deprecating an old database API or requiring every product to integrate the latest greatest security technology.",
"""One of the best employers""","Dec 11, 2011",5.0,Current Employee,Anonymous Employee,,Recommends,,Approves of CEO,Open culture and treat employees nicely. High respect and freedom to engineers. Encourage innovation and taking risks. Well rounded employer.,Company is growing bigger and bigger and getting problems of a big company - complicated and segmented processes preventing fast movement.,
"""If in doubt, refuse the offer.""","Dec 15, 2011",2.0,Former Employee,IT Field Technician II,"Dublin, Co. Dublin (Ireland)",Doesn't Recommend,,No opinion of CEO,"Access to internal knowledge bases, opportunity to work with some major engineering celebs, bleeding edge infrastructure, a lot to learn from the experience.",If you care about your professional relationships more than computing then go work somewhere else because many people you'll meet there are brainwashed beyond recovery and in the long run it's hard to put up with. Career opportunities are a myth.,
"""Difficult to get into but rewarding to work in.""","Dec 3, 2011",5.0,Current Employee,Anonymous Employee,,Recommends,,Approves of CEO,The benefits are the most pro and also the salary.,Difficult to get in as it is very competitive.,
"""Fantastic""","Dec 12, 2011",4.0,Current Employee,Smb Acquisition Manager,,Recommends,,Approves of CEO,"Flat hierarchy within the company, level of responsibility relatively high, cross team work supported, internal movement very well done as you could move pretty easily","the promotion system is truncated as the metrics used are not performance based, this is a shame for a company that promotes performance",
"""pretty good place to work""","Dec 9, 2011",4.0,Current Employee,Anonymous Employee,,Recommends,,Approves of CEO,"good perks, smart coworkers, decent work/life balance","company is big, communication sucks",
"""A good learning experience""","Dec 7, 2011",3.0,Current Employee,Programmer,,,,no growth vertically,quality of work - very innovative work.. also time alloted to do your own projects,career stagnation is a possibility,
"""Great place to work, especially for engineers""","Dec 6, 2011",4.0,Current Employee,Anonymous Employee,,Recommends,,Approves of CEO,"great perks, great comp and great colleagues","the company is becoming too big, and middle management is not as good as top",
"""Great Job, But Can't Shake the Frat Mode""","Nov 27, 2011",4.0,Former Employee,Anonymous Employee,,,,No opinion of CEO,"top of line computer equipment/software. free breakfast, lunch, dinner, real focus on group/team building. people work well together. respectful as long as you don't have a life outside the company.",many fresh-out-of-college kids who think they know more than they do. geeks without any edge. little room for growth.,
"""great""","Nov 22, 2011",5.0,Current Employee,Anonymous Employee,,Recommends,,Approves of CEO,best company to work for,none thqt i can think of,
"""Excellent""","Nov 13, 2011",5.0,Current Employee,Anonymous Employee,,Recommends,,Approves of CEO,"the benefits are amazing, management understand the importance of giving employees the freedom and autonomy to work on what interests them and what they are good at","there are almost no downsides, except that it is now a big company so there are a lot of processes and procedures that need to be followed at time, although management try really hard to make these as efficient and painless as possible",
"""Google offers ground breaking innovation.""","Nov 15, 2011",5.0,Current Employee,NONE,,Recommends,,No opinion of CEO,Innovation is key here. They want you to be yourself,there is nothing negative at google. Just everybody is pretty smart,
"""I really like working for google, benefits and work are great but the work is intense and you're given a lot of responsi""","Nov 12, 2011",5.0,Current Employee,Sales Operations Project Manager,,Recommends,,"overall, google is great to work for",interesting work,work life balance. they work you very hard,
"""Wonderful, you can do your interests, and balance the work and family life.""","Nov 19, 2011",4.0,Current Employee,Anonymous Employee,,Recommends,,Approves of CEO,There're several reasons: 1) exciting projects serving billions of users; 2) Good working environment; 3) Smart colleagues; and 4) fantastic food!,"If you really want to have some downsides, there are 1) large company, the system is mature, you rarely have chance to play an important role in rebuilding the system; 2) hard to be promoted after senior, like a rest point",
"""Awesome, dream company""","Nov 3, 2011",5.0,Current Employee,Senior Systems Administrator,Bengaluru (India),Recommends,,Keep it going and we will see google as number 1 for most number of years to come.,Nice place to work for. Excellent work culture,There are if you think but it's best (not one of) company to work for,
"""AWESOME""","Nov 13, 2011",5.0,Current Employee,Anonymous Employee,,Recommends,,Approves of CEO,COMPUTERS are really really fast,lots of traffic to arrive,
"""An amazing experience""","Oct 29, 2011",5.0,Current Employee,Support Engineer,"Dublin, Co. Dublin (Ireland)",Recommends,,- Many learning opportunities.,- Very intelligent co-workers.,- Sometimes a bit chaotic.,
"""Best Place to work but middle level sales management is quite poor.""","Oct 13, 2011",5.0,Former Employee,Anonymous Employee,"Gurgaon, Haryana (India)",Recommends,,But certain people who might not have a degree in management and they became managers because of years served in company. They need to be more effectively trained to handle human resource well. Otherwise the senior management in Google is one of the best to work with.,Good Package,Salary is sometimes not that competitive,
"""fantastic""","Oct 13, 2011",5.0,Former Employee,Anonymous Employee,,Recommends,,and the working environment is good. good pay.,good place to work with different genius people. always full of challenges.,everyday there is different problems to solve. need good skills on problem solving,
"""Good if it's your cup of tea, ie sales, marketing, engineering, finance. Other roles very generic""","Oct 11, 2011",4.0,Former Employee,Anonymous Employee,,Recommends,,Drop academic snobbery - request lower qualifications for junior jobs,Fast paced,"Some very pushy, self important individuals",
"""Very good I enjoy working there very much.""","Oct 6, 2011",5.0,Current Employee,Senior Software Engineer,,Recommends,,No opinion of CEO,Google pays me very well. The staff is very very nice they make you feel welcome. You also get a free lunch.,It isn't very organized or clean. There aren't very many bathrooms and the bathrooms they do have are always full or being used.,
"""Fun, Challenging, large office complex in MTV""","Oct 11, 2011",4.0,Former Employee,Anonymous Employee,,Recommends,,Being focused on core products and services is critical,Great working experience,Large employee base,
"""The best company you can work for, middle management in the sales department is poor.""","Sep 25, 2011",4.0,Current Employee,Anonymous Employee,Hyderabad (India),Recommends,,"People are sticking to the company because they love the company, its senior leadership (aka Larry, Sergey etc) not the middle management. This needs to be understood.",-Benefits are second to none.,"-Middle management in the sales side of things needs a major revamp. Absolutely no regard for career development, work-life balance. Faulty and biased performance appraisal. Extremely non-Googley. The middle management lacks in people development skills and are too busy trying to push themselves up to bother about their reports. No recognition for rewards in the sales teams and as long as you are in the favored … ",
"""Great""","Oct 6, 2011",4.0,Former Employee,Software Engineer,,,,Approves of CEO,it teaches you a lot..great place and it teaches you a lot of new things and all..excellent place...cant get better,Very difficult to work with all the geniuses around you...algorithms have to be on your fingertips...lots of competition,
"""My experience was great but I wished I had another manager.""","Sep 13, 2011",4.0,Former Employee,Anonymous Employee,,Recommends,,Approves of CEO,Google provides great perks and benefits to their employees! You are surrounded by bright and competent people.,"If you're not an engineer, there are much fewer career advancement opportunities. It is really easy to gain weight with all the delicious food.",
"""Good Place - Lots of New Projects""","Sep 22, 2011",4.0,Former Employee,Software Engineer,,Recommends,,Approves of CEO,We work on a lot of really great stuff that is leading the Internet Revolution. We have a lot of autonomy to work on different projects and make our own decisions.,Management is sometimes a little disconnected and the bi-coastal structure sometimes makes it hard to collaborate effectively and move forwards with projects.,
"""Great company""","Sep 11, 2011",5.0,Current Employee,Anonymous Employee,"London, England (UK)",Recommends,,Approves of CEO,greatest company to work for,none that are worth publicly complaining about,
"""for a first job - best place to be!""","Sep 14, 2011",4.0,Former Employee,Adwords Associate,,Recommends,,Approves of CEO,"Amazing culture, trust in employees, no work pressure!",need to be more transparent,
"""Challenging""","Sep 13, 2011",3.0,Current Employee,Anonymous Employee,"City of London, England (UK)",,,- too many meetings,- Relaxed environment,- Poor on boarding,
"""Very Good""","Aug 25, 2011",5.0,Current Employee,Anonymous Employee,,Recommends,,"Can feel a little overwhelming at times. If you're someone that doesn't enjoy being a part of a large group or if you prefer working in very small, intimate teams, then Google may not be your best choice.",work like balance,rudderless career management,
"""Working at Google was great""","Sep 5, 2011",4.0,Former Employee,Anonymous Employee,,Recommends,,Approves of CEO,"great working place, lots of things to do around work place","not many cons, they make it hard to leave work, huge place to work",
"""wonderful experience""","Sep 5, 2011",4.0,Current Employee,Senior Software Engineer,,Recommends,,Approves of CEO,"international corporation, very driven and bright envinroment.","too much time spent on work, sometimes too much time thinking of work even when you're out.",
"""OKish""","Aug 31, 2011",3.0,Former Employee,Software Engineer II,Hyderabad (India),Recommends,,Approves of CEO,"needless to say - very very smart, innovative people. techies - who love their work! Encouraging people and very competitive environment.",Work culture is very different from the US offices where you have a lot of flexibility in work. Bad work-life balance.,
"""Nice place to get some good experience, but don't stay too long...""","Aug 19, 2011",3.0,Former Employee,Anonymous Employee,,,,Show More,"- Google management works hard to build a collaborative, friendly culture",- Many engineers have little interest in or don't understand business issues. They'd rather work on tough technical issues than solve real problems. Senior leadership doesn't seem to mind.,
"""Good place to work, but not great.""","Aug 29, 2011",3.0,Former Employee,Anonymous Employee,,Recommends,,-Little recognition,-Excellent benefits,-Lack of quality managers,
"""na""","Aug 25, 2011",4.0,Current Employee,Account Manager,Hyderabad (India),Recommends,,No opinion of CEO,"Good food, great perks, great working culture","Middle order managers, not enough scope to move teams",
