Title,Date Written,Rating,Current/Former,Job Title,Location,Recommendation?,Outlook,Main Text,Pros,Cons,Advice to management
"""VP-Financial Consultant at Schwab""","Oct 31, 2012",3.0,Current Employee,VP-Financial Consultant,,,,I have been working at Charles Schwab full-time (More than 5 years),"Great job for those with 1-2 years industry experience, in their mid-late 20's, as income can be good (approx. $125k average total comp, $200k top performers) for that level of career. However, nowhere to grow from there, no special skills are gained to increase your marketability, etc...",No long-term career growth potential for branch sales employees,"Less micromanagement, have plan in place to retain long-term employees (sales reps in branches)"
"""A place to start a career in Finance, not a place to have a career.""","Nov 7, 2012",1.0,Current Employee,Anonymous Employee,,Doesn't Recommend,Negative Outlook,The management and director staff now in place is data driven and cold hearted.,Sabbatical after 5 yeas is a great benefit.,Average pay at best.,Start treating your employees with more respect and pay a more competitive salary. Happy employees result in happy clients.
"""An ethical company where you can make an acceptable living""","Oct 17, 2012",3.0,Current Employee,Financial Consultant,,Recommends,Neutral Outlook,I have been working at Charles Schwab full-time (More than 10 years),Ethics and the people who work there,You can make a lot more money at other companies if you are a top producer,
"""Not a job for the ambitious""","Oct 12, 2012",3.0,Current Employee,Anonymous Employee,,,,,Great people work here. Coworkers feel like a cohesive unit. Everyone smiles and says hi to each other.Great place to get licensed (Series 7 is the MO of Schwab).,"Unless you want to take phone calls forever, there are very limited growth opportunities within Schwab. If you know where you want your career to go and you're ambitious, this is not the place for you. You will feel trapped.",
"""Excellent""","Sep 28, 2012",5.0,Former Employee,Anonymous Employee,,Recommends,Neutral Outlook,Growth potential can be limited once you get to a more senior management level,Innovative,Tough industry to be in right now,Keep taking good care of your clients and your employees!
"""Out of all the financial services companies I enjoyed my time at Schwab the most.""","Oct 9, 2012",3.0,Former Employee,Anonymous Employee,,Recommends,Positive Outlook,I worked at Charles Schwab full-time,"Great corporate culture, mgmt could be better",no room to move up,
"""Loved it. If I was passionate about Finance I would have stayed""","Sep 20, 2012",5.0,Former Employee,Anonymous Employee,,Recommends,Positive Outlook,I worked at Charles Schwab full-time,loved my co-workers and managers,They have really Odd hours,
"""Charles Schwab is an ok place to work""","Sep 19, 2012",4.0,Current Employee,Anonymous Employee,,Recommends,Negative Outlook,I have been working at Charles Schwab full-time,Great company to get your feet wet,Lots of changes on the horizon,
"""Disappointing experience""","Oct 2, 2012",2.0,Former Employee,Anonymous Employee,,Doesn't Recommend,Neutral Outlook,I worked at Charles Schwab full-time (More than 5 years),Benefits are exceptional. Wonderful people. Flexible hours,Schwab seems to encourage mediocrity. The employee reward system is obtuse and designed to create problems between co-workers. This is a great job for someone who simply wants to do their work and collect their paycheck.,"Try to find a way to identify and encourage smart, efficient and motivated employees."
"""Was a great company with wonderful culture, but now just cut throat place""","Oct 20, 2012",1.0,Former Employee,Anonymous Employee,,Doesn't Recommend,Neutral Outlook,"It used to be a company that invest in it's internal talent pool, but now just hires outside of the company, overlooking insiders who have worked hard for the company.",-Company has a good national image. It looks good on resume.,It's a place where people will just throw you under the bus if it means they can save themselves.,"Schwab has lost sight on how it treats its employees, re-focus on bettering corporate culture again."
"""An excellent company to work for in the latter half of your career""","Sep 21, 2012",2.0,Former Employee,Associate,,,,"- Unless you generate more excitement, growth and engagement with your staff level employees, you'll have ""average workers"" executing your plans & Schwab needs to be above average to succeed.",- The People,"- Collaboration to a fault, more focus on keeping everyone happy than accomplishing the mission.",- There is significant risk in neutralizing the soul of an organization beyond attrition.
"""A disappointing and frustrating place to work""","Oct 10, 2012",1.0,Former Employee,Senior Manager,,Doesn't Recommend,Neutral Outlook,Show More,Many of the employees at various levels are pleasant and professional,"In the mortgage division of the bank, there is little attention paid to quality of life; most employees are stressed and unhappy. This is in part due to poor training, poor management and old technology.",Pay closer attention to mid and long range planning so your subordinates don't suffer unnecessarily. Focus on ensuring people are trained properly to do their jobs. Invest in technology to help workers do their jobs then train and support them. Be open to constructive feedback from those on the front line.
"""Registered Representative""","Aug 18, 2012",4.0,Former Employee,Anonymous Employee,,,,I worked at Charles Schwab full-time,They pay for your license and friendly company. The managers and other co workers are willing to help new employees that have troubles.,Very high call volumes on the phone. No down time at all. Lower base pay and down economy keeps bonuses low.,
"""Active Trader Overlay""","Aug 9, 2012",4.0,Current Employee,Anonymous Employee,,Recommends,Positive Outlook,Approves of CEO,Great way to learn the markets and analyze trading strategies.,"Low Pay, this is a company that will teach you all that you want to learn, but dont expect to eat lobster while you learn.","Your culture is amazing, people live for the company. Its hard to be financially fit when you dont pay a competitive salary."
"""Process rules unless it gets in the way""","Aug 21, 2012",3.0,Former Employee,Anonymous Employee,,,Positive Outlook,Examine the current way of doing business. There might be better ways.,"They are concerned about their employees financial well being. They provide you all types of opportunities and access to staff for planning your financial well being. They have full time employees dedicated to doing nothing but help other employees with their investments. After all, that is the business that they are in. The division in which I worked was flexible with your work schedule as long as you were getting … ",They are federally regulated so everything is tightly controlled. Do not expect to be able to check your Facebook page or personal email while in the office.,Listen to new employees more.
"""Get In, Get Experience, Get Out""","Sep 10, 2012",1.0,Current Employee,Anonymous Employee,,Doesn't Recommend,Negative Outlook,Approves of CEO,Company with big pockets that doesn't think twice about investing in latest and greatest. If you want to work with best tools and not be hindered this is a good place.,Middle and upper middle management disconnected from employees. Definite boys (and girls for that matter) club in effect. You can't have a career there without some serious butt kissing and if you should happen to question the wrong person about something you are stuck forever. Will not hesitate to drive your family life to the point of divorce with overtime.,Get back in touch with your employees directly. Engagement surveys don't work well when managers and directors basically pull you aside and tell you to put a high score in so they can get a bigger bonus. Ethical issues in my opinion.
"""Challenge and opportunities for those who like to work hard""","Aug 5, 2012",4.0,Current Employee,Anonymous Employee,,,,I have been working at Charles Schwab full-time,People are the really knowledgeable and support each other,The bar for performance seems to be continuously raised,
"""It is a good place to work.""","Jul 26, 2012",4.0,Former Employee,Anonymous Employee,,Recommends,,I worked at Charles Schwab full-time (More than 10 years),High quality people to work with and work for. Corporate culture is great because people buy in and work towards making everyone financially fit. Highly engaged employees that care about what they do. Good leaders for the most part. Good development programs.,"Performance rankings were clearly a forced bell curve. In some BUs middle management is suspect. It is bad when you speak with senior leaders more than you speak with your director or VP. Unable to advance professionally in certain business units unless you move, even if the job could be done remotely. Some middle management suffering from individual genius disease. Some group think issues in middle management.",Need to spend time determining why some BUs middle management are not as effective as they could be. Are they technical when they should be personable? Why do they lack vision? Why are they not engaged with front line employees?
"""Good job, poor career""","Jul 16, 2012",3.0,Former Employee,Vice President Financial Consultant,,Doesn't Recommend,Negative Outlook,may hurt future career in the industry,Robust client base,"a deep disconnect between management's vision and a reality ""on the ground""","""It doesn't make sense to hire smart people and then tell them what to do; we hire smart people so they can tell us what to do"". —Steve Jobs, Founder, Apple"
"""Great people to work with. But lack upward mobility opportunities.""","Jul 8, 2012",3.0,Current Employee,Senior Product Manager,,,Neutral Outlook,I have been working at Charles Schwab full-time (More than 8 years),"The people at Schwab are great to work with. The company has a desire to train, develop, and help employees to do their best. The benefits are decent within this industry. Work / life balance is good. The additional compensation with annual bonuses and a sabbatical every 5 years is a great perk.","One can hit the growth ceiling pretty quickly. Though there's opportunities for lateral moves, upward mobility is lacking...and not due to one's lack of drive or performance. Also, reorgs are frequent (every couple of years), which slows down productivity.",Make employee growth a priority and have managers be transparent in sharing growth plans.
"""Not the best, but not the worst""","Jul 3, 2012",3.0,Current Employee,Manager,,Doesn't Recommend,Positive Outlook,Show More,"Interesting projects, decent pay, work from home opportunities, access to employee financial wellness programs","The corporate culture needs to be improved. I've witnessed too much backstabbing, talking behind others' backs, undermining and bullying in this workplace.","Work to improve the corporate culture, so it's more collaborative and not like an elementary school playground. Open up better job opportunities in locations outside of San Francisco. Even though Orlando, Denver and Phoenix are service-oriented, you need higher level support functions in these locations to better understand and engage your workforce."
"""Schwab has been a great place to grow -- I'm no longer sure it's the right place to stay.""","Apr 28, 2012",4.0,Current Employee,Managing Director,,,,Show More,- Stability,- Collaboration to a fault / too much effort to get buy-in from everyone to be nice and keep partners happy,- You're saying the right things and spending lots of time on fine-tuning senior management and strategic plans
"""Fair practices. Great place to learn and grow.""","Apr 30, 2012",5.0,Current Employee,Senior Client Consultant,,Recommends,,Approves of CEO,Paid time to study for licenses. You learn a ton about the business.,Call center environment. Most of the financial recognition goes to the top five percent of performers.,Make it a place people want to stay at with better financial perks so people won't just get their licenses and leave.
"""Very structured work place with a corporate feel.""","Apr 28, 2012",4.0,Current Employee,Anonymous Employee,,Recommends,,Approves of CEO,Great technology and back office support. Great products and value to clients. Brokers are empowered to make decisions to satisfy clients.,"Doesn't seem to value independent / creative thinking. Because Schwab is such a big company, in order to make things scalable, they need/try to control a little too much.","On the branch level, try not too worry so much about ""checking boxes"" as far as productivity goes and focus more on business that gets closed. For example, don't worry about the number of daily contacts, but focus instead on the ""quality"" of those contacts In the call centers, work on the energy there. It has a sweat shop feel."
"""My experience at Schwab has been fine.""","Apr 28, 2012",4.0,Current Employee,Anonymous Employee,,Recommends,,Approves of CEO,"Fundamentally, and relative to it's peers, Schwab is an ethical company with sound corporate values and a sincere commitment to its customers and shareholders.","It is a tough place to get promoted, even when doing good work, or to develop or progress in a career.","When committing to doing something, get it right, and don't be afraid to spend the money to improve the outcome in the long run."
"""A good place to make a pay check""","May 7, 2012",3.0,Former Employee,Anonymous Employee,,,,No opinion of CEO,Local teams and branches work very well together,Very political and favored towards corporate employees - not so much in the branches,Listen more to junior employees
"""It was a long run, but direction has changed and politics and bullying have won...I'm gone""","Apr 30, 2012",2.0,Current Employee,Anonymous Employee,,Doesn't Recommend,,Show More,great products and services,Lost its direction,"If you really wanted to find out what was going on, send a mystery employee in. Multiple bosses in multiple years and multipled directional changes. The firm is amazing and could be so much better but ideas do NOT get floated. The opinion of middle managers is taken over the client facing employee and after so many years it is time for a new view. I challenge you but don't expect a change...This is not the Chuck I … "
"""The pay is fair and the experience is great.""","Apr 11, 2012",5.0,Current Employee,Portfolio Consultant,,Recommends,,Approves of CEO,"Fair Pay, Good Management and friendly work environment. Even the call center employees seem content. Overall a good place to work.",No Investment Bank to advance to if one wants to go that route. On the sales side the pay seems to be capped.,Management is doing a good job overall. Reasonable hours and reasonable pay for someone who wants a balanced life. No suggestions.
"""It is employment""","Apr 11, 2012",2.0,Current Employee,Customer Service Representative,,Doesn't Recommend,,Approves of CEO,"Great benefits, solid company with good reputation. Young work team for the most part. Pleasent environment with good equipment and tools.","No room for advancement, high turnover. Have not seen advancement within team for almost three years. A lot of promises, no results. Pay is above poverty level. HR person actually told a group ""If you need to make more money you need to look elsewhere"". Churn and burn.",Management needs to get out of the office and interact with the people on the phones. Schwab does a great job of teaching management what to say to make you go away or take your problem someplace else. Poor communication from management to the rank and file.
"""Excellent overall.""","Mar 29, 2012",4.0,Current Employee,Anonymous Employee,,Recommends,,No opinion of CEO,"Fun, exciting, never boring, fast paced.","A bit stressful, but in a good way.",I decline.
"""So Much Opportunity""","Mar 26, 2012",5.0,Current Employee,Client Service Specialist,,Recommends,,Show More,"Very laid back office atmosphere, relaxed dress code, flexible hours, intelligent management, career advancement opportunities, etc. The company also pays for pursuing industry designations and is great about making sure there are enough sponsored events to keep up with CE credit requirements for those designations. They are very good about keeping you informed of your progress and I've experienced a very ""open … ","Compared to the same position at other companies, the salary isn't the greatest but there are other things that make up for it in the benefits package. I did come from a much smaller company so the bureaucracy aspect took some getting use to. Even the slightest changes require a long time to implement and that can be frustrating; however, overall there isn't much negative I have to say about Schwab. I've been here … ",
"""Great way to get started""","Mar 3, 2012",3.0,Current Employee,Registered Representative II,,,,No opinion of CEO,Great culture with opportunities for additional education,Not a lot of advancement opportunities,
"""Great colleagues but lack of promotion opportunities""","Feb 6, 2012",3.0,Current Employee,Anonymous Employee,,,,small annual increases,Great colleagues,lack of promotion opportunities,compensate employees appropriately
"""The cleanest place in a dirty industry""","Jan 22, 2012",4.0,Current Employee,Anonymous Employee,,Recommends,,"You are not forced to sell any products to the clients, unless you are a branch financial consultant. Even then, anything you are ""selling"" is only if it is in the best interests of the client.",Company is committed to the client and to doing the right thing,"Unless you want to work in the branch, you are severely limited in locations you can live and work in",
"""A good company to provide newer investors to varied investments and advice platforms.""","Feb 2, 2012",3.0,Former Employee,Anonymous Employee,,,,No opinion of CEO,Great opportunities for business development with existing clients.,"Difficult at times to concentrate on business development activities, servicing many clients with little administrative support.",No suggestions to offer at this time.
"""Educational""","Jan 14, 2012",4.0,Current Employee,Anonymous Employee,,Recommends,,Approves of CEO,great place to get licenses and learn about the industry.,Compensation needs to improve to keep talent.,"Let Brokers place option trades in their accounts. Brokers have passed industry exams to prove option knowledge and are expected to be able to place option trades for customers, but are not trusted to place option trades in their own accounts."
"""Good place to start, but should not look at Schwab as long term.""","Jan 16, 2012",2.0,Former Employee,Investment Professional,,Doesn't Recommend,,No opinion of CEO,Schwab is a good company to build your experience as a registered representative. Within the office setting there can be good learning moments.,Office politics seems to control a lot of what goes on in the local offices. Competition from no fee funds makes it harder to make any type of commission.,Allow the offices to have more control over the types of programs offered to their clients. Maybe look at the pay schedules of the investment reps and work out a better program.
"""Extremely positive""","Dec 11, 2011",5.0,Current Employee,Associate Financial Consultant,,Recommends,,Approves of CEO,Good opportunity for career advancement; caring work environment; company is going in the right direction and positioning itself for continued growth; good benefits; decent pay,"Depending on part of the country you live in, career mobility/advancement can be limited; pay could be better;","Make financial consultants ""wealth managers""/""wealth strategists"" to truly embody comprehensive personal financial planning"
"""good development opportunitites""","Dec 4, 2011",4.0,Current Employee,Anonymous Employee,,,,Approves of CEO,"development, good managers, great co-workers, opportunitites to get your securities licences, you will become a great communicator, positive attitude from managers and co workers","compensation, hours not very flexible, depending on your position, work itself can be tedious","it seems that they keep saying that ""their door is always open"" and they will listen to employees as well, however, they dont seem to act on what their employees are trying to say."
"""A dominant market leader in the RIA space. Better than average in retail brokerage.""","Nov 24, 2011",5.0,Current Employee,Branch Manager,,Recommends,,Approves of CEO,Opinions of employees are valued. Schwab is a fierce competitor and generally does what it needs to do to compete on price and product. Very rarely do conflicts of interest fog decisions.,"Schwab is a large company with the unfortunate downsides of bureaucracy of policies, technology, and red tape. Although I don't believe it is any worse than other large companies.",Invest in state of the art technology for your employees and be mindful of the potential of over-assigning workloads which have the potential to have client experience suffer. Schwab has a solid reputation for quality customer service. Don't let that slip.
"""Great opportunity to learn about how corporations operate""","Dec 12, 2011",3.0,Former Employee,Anonymous Employee,,Doesn't Recommend,,Approves of CEO,"Founder vision is to make financial opportunities available to everyone, executive culture reflects that vision. Compensation is good compared to other similar jobs. Lots of opportunities to move sideways.","Operating efficiency programs have led to short term decisions, and some less than stellar offerings. Constant pressure to only deliver wins.",Get out of the ivory tower and meet employees. Don't accept undesirable actions from any leadership.
"""Great until a poor manager forced several to find other jobs""","Dec 3, 2011",3.0,Former Employee,Anonymous Employee,,,,Listen to employees,Many opportunities for growth at schw,Trouble with stock price.,Listen to employees
"""Fair""","Nov 5, 2011",3.0,Former Employee,Financial Consultant,,Recommends,,Approves of CEO,"lots of resources to help with working with clients, good atmosphere.",too much bureaucracy between headquarters and branches.,
"""Great for clients, horrible for employees""","Nov 2, 2011",2.0,Former Employee,Anonymous Employee,,Doesn't Recommend,,Show More,Company has a good reputation with clients. Company treats clients fairly. Company is stable (but not necessarily your job). They have a lot of clients.,"Management blatantly ""forgets"" to approve relationships on time so you end up getting paid late. Management says it passes leads equally and fairly between employees, yet that was the farthest from what actually happened. They passed leads to their favorites and then tried to cover it up. They turn a blind eye to their favorite employees snaking your clients even though they say that they strictly enforce practice … ",
"""Limited oportunity""","Oct 28, 2011",2.0,Current Employee,Anonymous Employee,,Doesn't Recommend,,No opinion of CEO,"brokerage exereince, seriess 7 exam",limitied salary and oportunities for individuals,More opportunities
"""Different than expected, call center is like being at high school""","Oct 25, 2011",2.0,Current Employee,Anonymous Employee,,,,No opinion of CEO,"Ability to help those in need, i.e. the clients",Mid-level management are not good people managers,Your call center operations managers need to grow up and respect their employees
"""Disappointing""","Oct 25, 2011",2.0,Former Employee,Brokerage Services Representative,,Doesn't Recommend,,No opinion of CEO,Peers were really nice people,Not much room for advancement. The call stats are so restrictive that it hinders your ability to really help the customer.,"Listen to your staff and lift some restrictions on call stats. For instance, if someone has to use the restroom don't make them 'clock out' and have it count against them."
"""work here if you barely want to pay the bills""","Oct 4, 2011",4.0,Current Employee,Anonymous Employee,,,,No opinion of CEO,awesome work environment and can move across organization,"pay sucks, when moving across organization most likely will be lateral",management can be awesome depending on the area but most of them are on top of it and seem to care about their employees.
"""Excellent place to work.""","Sep 19, 2011",4.0,Current Employee,Anonymous Employee,,Recommends,,Approves of CEO,Focused on customer service and satisfaction,Personal compliance and heavily monitored PC environment,
"""Decent place""","Oct 1, 2011",3.0,Former Employee,Anonymous Employee,,Recommends,,No opinion of CEO,"OK, but could improve on a few things, I think for the most part they were very good and I enjoyed my tie there. Obviously not everything was perfect, but nobody is. Overall I was happy",Management was often not aware of all the issues we had with certain IT related stuff.,More communication with lower level employes.
"""Working at Charles Schwab""","Aug 23, 2011",4.0,Former Employee,Anonymous Employee,,Recommends,,Approves of CEO,Great culture and atmosphere; great training; fantastic benefits,"Low pay, low bonuses, poor communication about certain issues","Pay better and you will retain employees much, much better."
"""Respect for clients and employees has evaporated.""","Aug 16, 2011",2.0,Former Employee,Anonymous Employee,,Doesn't Recommend,,Disapproves of CEO,It is a good place to train fir a career in financial services. The ability to have an impact on your job and to use your intelligence is limited.,"Most positions at the firm require you to interact with clients in a ver prescribed manner. Unfortunately, its become a leave your brain at the door organization.","One of the main problems at Schwab is there is no input from line staff which leads to a culture where there is no improvement to existing programs. Generally, new products and services are initiated and not improved -just disgarded."
"""good place to start""","Jul 21, 2011",3.0,Former Employee,Anonymous Employee,,,,"Every couple years, top management is replaced.",You are forced to adapt and embrace change.,The pay is not competitive.,
"""Great place to start your financial career""","Jun 4, 2011",4.0,Current Employee,Anonymous Employee,,Recommends,,Show More,"The training is great. Great starting place for people looking to get in the industry. It's not hard to succeed here. If you are motivated and refuse to be complacent, it is easy to outperform the average worker and position yourself for advancement. People who complain about the entry level positions are ones who are stuck there because they refuse to work hard enough to move on. The company is very ethical and … ","Mid level management is too inconsistent. One manager's style will differ drastically from the next. I understand everyone has their own way of doing things, but it feels like there should be more consistency.","There should be more emphasis on quickly identifying potential. Also, compensation should more competitive to keep your excellent employees."
"""It's a decent job, nothing more, nothing less""","May 10, 2011",4.0,Former Employee,VP-Financial Consultant,,Recommends,,No opinion of CEO,A well respected brand by consumers. Good co-workers who are proud of the work they do. Training and support in role are good.,No room for advancement. You must stay above bottom 20% of peer group in sales or you are fired. Managers have no sales experience and do nothing but count your contacts. You'll make between 70-120k. After 3-4 years your assigned book is tapped out .,"Increase turnover for branch managers and customer service reps. They are paid well, but have no accountability."
"""Positive overall, good experience, can be very stressful""","May 27, 2011",3.0,Former Employee,Stock Broker,,Recommends,,provide better ongoing AI training,company probably most ethical in Financial Services,limited raises under new pay structure,"need more consistency of expectations from year to year, constant state of change- some good some bad"
"""Highly Unsatisfied with the firm practices""","May 26, 2011",2.0,Current Employee,Senior Staff,,Doesn't Recommend,,Disapproves of CEO,Helpful and knowledgeable peers to work with,Too much work place politics and managers are not efficient.,Try to motivate and appreciate your employees
"""Would go back to Schwab for the right opportunity.""","Apr 15, 2011",5.0,Former Employee,Manager,,Recommends,,Approves of CEO,"I worked with a group of talented individuals and we all learned a lot from one another. For the most part, everyone had a great rapport.","One of the downsides was the office politics, but that's to be expected in any corporate setting, the hope is that you are one of the favorites.",
"""Decent will not make a killing but can build skills""","Apr 18, 2011",3.0,Former Employee,Financial Consultant,,,,Approves of CEO,"Banker hours, if hustle can do better than average.",Like most places only get ahead being postive yes man.,Increase bonuses based on production
"""Below average; poor management""","Apr 5, 2011",2.0,Former Employee,Branch Representative,,Doesn't Recommend,,Show More,Benefits and company name recognition.,If you are Schwab customer it is a great place. Not so much so for employees.,I don't think there is any way to fix what is wrong with current management policies. I recommend either abandoning the branch model or completely revamp it with the intent to retain good employees.
"""More friendly then competitive, good to settle with but not to begin a career""","Mar 13, 2011",4.0,Former Employee,Anonymous Employee,,,,No opinion of CEO,"Schwab has lots of services and departments so if you want to branch out and learn about the business, definitely take advantage of that! People are pretty nice and relaxed and very reasonable benefits.","It is very traditional and slow paced. Co-workers are nice but you don't feel as motivated to advance. As mentioned, it is a nice place to settle down at.",I would love to see the leadership team be more motivating and push associates to learn more and want to advance. It is always easier to promote from within then to hire someone new and train all over again.
"""A very driven company with clear goals.""","Mar 5, 2011",5.0,Former Employee,Senior Project Manager,,Recommends,,Approves of CEO,Benefits are really good. They help you with your work schedule. Management is accountable. Bonuses are very good. You get to work on interesting projects.,You might have to relocate to another city. The finance industry is very strict and there are a lot of regulations to be trained on.,Keep doing what you do best and keep up the good work. You let's us know how the company is doing and we feel like a big family.
"""Phenomenal company to work for.""","Feb 5, 2011",5.0,Current Employee,Anonymous Employee,,Recommends,,Approves of CEO,It's been great. Very excited about my company. The knowledge they give you is priceless.,Overwhelming at first but press through it.,
"""Great Company""","Jan 28, 2011",4.0,Former Employee,Registered Representative,,Recommends,,Approves of CEO,"Definitely a great foundation for the investment industry. Very ethical and innovative firm. Great communication with employees, great benefits and opportunity for growth.",The salary at Charles Schwab is not particularly very competitive. Other than that it is an extremely great place to work.,"Keep up the great work, Should consider providing employees with a little more compensation. Great communication about company news and industry updates."
"""Awesome place to work!""","Jan 25, 2011",5.0,Current Employee,Anonymous Employee,,Recommends,,Pay for performance structure which rewards employees for their hard work.,Great people to work with.,"Due to regulatory requirements, it can be a bit more structured than other non-financial services companies. The benefits outway the cons for sure but this can take some adjustment for those new to the industry.",I like to would tell them: thank you for making Schwab a place I am proud to be an employee of.
"""A great company that I'm proud to work for.""","Jan 17, 2011",4.0,Current Employee,Anonymous Employee,,Recommends,,Approves of CEO,Benefits are good; a strong culture of mutual respect and diversity,Compensation is low when compared to similar companies,Provide more opportunities for career development and growth.
"""This place sucks you in, and eventually you get stuck in a rut""","Feb 14, 2011",1.0,Former Employee,Anonymous Employee,,Doesn't Recommend,,Show More,The benefits (medical and dental) are sufficient.,"Brokers make 34K per year and client service representatives make 30K per year (no room for negotiation...period). I couldn't believe that a broker only made 34K per year...This is not competitive at all. If you are a broker or a CSR: This is a glorified call center position, switch board operator, customer service rep...it's all the same. Brokers only take brokerage calls about 50% of the time. The other calls are … ",There's literally no hope. It's the way the organizational structure and culture is.
"""My experience at Charles Schwab was immensely rewarding.""","Jan 12, 2011",5.0,Former Employee,Anonymous Employee,,Recommends,,No opinion of CEO,"The best reason to work at Schwab is for the people. People at Schwab are very talented and good-natured, which leads to a great company culture. Integrity, values, ethics, and trust were embedded in the culture of the Company, with it's Leaders, with it's employees and with it's services.","Certain departments have been outsourced at the Company; however, I cannot provide any great insight here as I moved on from Schwab when major outsourcing processes took place.",
"""Management needs to recognize talented employees.""","Jan 18, 2011",2.0,Former Employee,Anonymous Employee,,,,No opinion of CEO,"Benefits, stock options, client focused","management was not conscious of the talent within thr office. They would not allow any variations from the ""way"" mangement thinks it should be done.",Know our people.
"""Incompetent management, play favorites""","Jan 16, 2011",2.0,Current Employee,Anonymous Employee,,Doesn't Recommend,,Disapproves of CEO,"Good benefits, easy job, company 401k match","Company focuses on clients being ""financially fit"" but doesn't care for it's employees. Employees compensation is pathetic, management totally sucks and plays favorites, make people work and take on additional responsibilities without getting adequately compensated for it.",
"""Very professional place to work""","Dec 31, 2010",5.0,Former Employee,Anonymous Employee,,Recommends,,Approves of CEO,Solid benefits. Opportunity to work in a variety of different business units. Chuck is a regular guy that can relate to all employees.,It seems they have to eliminate jobs on occasion to keep the analysts happy.,Actively seek the opinions of the people that are in the trenches with the clients day in and day out. They can educate on what internal obstacles you need to eliminate for them so they can improve the overall client experience.
"""Learned a lot about linux, and why corporate america sucks""","Jan 3, 2011",2.0,Former Employee,Intern,,Doesn't Recommend,,your girlfriend will hate it,The people are funny,the hours blow,"go take leadership class, stop being a wuss and do your job."
"""Started out good but ended up poorly.""","Dec 22, 2010",3.0,Former Employee,Financial Consultant,,,,No opinion of CEO,Great benefits and a really good name. A really good platform for the self directed investor and the 800 # is very helpful.,"Compensation is so hard to figure out, lots of conflict of interest. There advice platform is no cheaper than the full service brokers and not nearly as good. You only get paid sales pay for one year on managed money then it drops off. Have to keep replacing it year after year. If it delinks you have to pay it back.",
"""Stop here and pay.""","Nov 15, 2010",4.0,Current Employee,Anonymous Employee,,Recommends,,Did I mention the pay.,Easy to move from one department to another within the call center.,Call center life is not glorious like that branch.,Pay more and then pay alittle more.
"""Great place to start financial service career..awesome training""","Oct 11, 2010",4.0,Former Employee,Anonymous Employee,,Recommends,,No opinion of CEO,"training, people, distribution, resources, growth","pay, pay, pay, pay, pay",pay
"""Great Position""","Oct 14, 2010",5.0,Current Employee,Associate Financial Consultant,,Recommends,,Approves of CEO,"Schwab is a highly ethical company that focuses on the client, which is not always the case in the industry.","Success at Charles Schwab can be more of a long term process. Other firms are likely to provide, you a more immediate hit in compensation.",I really don't have any immediate feedback for the leadership of Charles Schwab at this point in time. I am content.
"""Pretty good place to start""","Oct 6, 2010",3.0,Current Employee,Registered Representative,,,,No opinion of CEO,Initial training. Good place to start.,"Not many advancement oppotunities, hiring of directors is most often from outside Schwab. Low pay. Terrible bonus.",Tell phone reps prior to major product changes. Upgrade technology.
"""Think twice before joining this firm!""","Sep 27, 2010",2.0,Former Employee,Director,,Doesn't Recommend,,Show More,"It used to be a entrepreneurial focused firm, but now is riddled with management, legal and compliance challenges that prevent that spirit from being advanced.","Take a close look at the other reviews on this site...they are all accurate and carry a consistent message that career advancement, recognition for performance and lack of consistency amongst the most senior management teams has really dampened the spirits amongst the rank and file.","If you are reading these reviews, thank you. As a company priding themselves on providing best-in-class service it would be wise to take a regular and even deeper look at what current and former employees are sharing. After all the most valuable asset of a service driven company is the people who make it happen every single day."
"""Great!!""","Sep 21, 2010",4.0,Former Employee,Anonymous Employee,,,,Approves of CEO,You get to learn a lot!!,they had me do nothing for a couple weeks,need better people management skills
"""Conflict of interest is rampant throughout the company""","Sep 25, 2010",2.0,Current Employee,Financial Consultant,,Doesn't Recommend,,Show More,Health and retirement benefits are very good. Co workers are generally friendly and helpful. The company has a good EAP.,"There is intense pressure to put clients in to advised offers where they have to pay a fee. If a client wants to only have stocks or CD's, your job is to convince the client they are missing out on splendid opportunities. Consultants are penalized when money moves from a higher paying bucket to a lower paying asset class. If you only do what the client wants from Schwab, which is generally to pay low fees and not be … ",Please take a long hard look at your compensation system and how it promotes horrendous conflicts of interest. Make Schwab a company where the client can do his own thing or if he seeks advice on his own he will be helped. Stop the intense pressure to upsell.
"""Not much to say""","Sep 14, 2010",3.0,Current Employee,Anonymous Employee,,Doesn't Recommend,,Disapproves of CEO,Used to be that Schwab was the behemoth,"Now, the moat has shrunk to the size of a puddle.",I feel badly for Chuck. His glory days are behind him.
"""Not bad""","Sep 2, 2010",3.0,Former Employee,Operations Associate,,Doesn't Recommend,,No opinion of CEO,"Promotes a good culture, not always good follow through.",Office politics are never good,"Be open, Be fair and Be honest with your employees"
"""Could have been better""","Sep 23, 2010",1.0,Former Employee,Senior Administrative,,Doesn't Recommend,,Show More,"It was a good work environment, and fun people to work with. It was typically a relaxed environment without a lot of stressors.","Management was too focused on individual workgroup and not the department or company as a whole. Pay scales are completely unbalanced even though there is a tiered system for payment. Benefits were poor, especially retirement, which is strange for a financial services company promoting their retirement services.","Management should communicate better with the corporate offices. Policies were disorganized and incongruous between departments. Management needs to set a clear path for the development of the entire organization, not each division by itself. Each division should work well with each other, but they do not."
